$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             eCos kernel exception handler, architecture: MIPS, exception vector table base address: 0x80000500
384           0x180           eCos kernel exception handler, architecture: MIPS, exception vector table base address: 0x80000500
3770404       0x398824        Certificate in DER format (x509 v3), header length: 4, sequence length: 2
8276644       0x7E4AA4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan/cs/src/pabx_lib.cpp
8300064       0x7EA620        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/ambe2/src/voc_pckt_handler.cpp
8303264       0x7EB2A0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/at_shell/src/at_shell_pool.cpp
8307152       0x7EC1D0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/at_shell/src/cmd_at_cmar.cpp
8307840       0x7EC480        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/at_shell/src/cmd_at_cmer.cpp
8331972       0x7F22C4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/bplt/src/BpltStat.cpp
8332480       0x7F24C0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/bplt/src/MespSync.cpp
8335124       0x7F2F14        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/bplt/src/LespLoss.cpp
8336820       0x7F35B4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/bplt/src/script_nav.cpp
8337832       0x7F39A8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/commands/sysconf/src/sysconf.cpp
8341900       0x7F498C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/cpuload/src/cpuload.cpp
8345352       0x7F5708        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/e700_wlan_control/src/config.cpp
8349248       0x7F6640        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/idl_misc_service/src/main.cpp
8349964       0x7F690C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/system/bgan_ut/message/sync_messag
8351876       0x7F7084        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/system/bgan_ut/message/sync_messag
8357200       0x7F8550        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/idl_naming_service/src/ns.cpp
8384144       0x7FEE90        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/pabx/src/pabx.cpp
8384728       0x7FF0D8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/pabx/src/pabx_control.cpp
8407328       0x804920        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/pabx/src/pabx_call.cpp
8423484       0x80883C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/pabx/src/pabx_cmd.cpp
8428204       0x809AAC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/power_management/src/pm_base.cpp
8433429       0x80AF15        eCos RTOS string reference: "eCos kernel with improved clock scaling capability."
8433497       0x80AF59        eCos RTOS string reference: "eCos kernel with insufficient clock scaling capability."
8433860       0x80B0C4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8434996       0x80B534        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/drivers/bgan_ut/gpio/gpio_function
8437556       0x80BF34        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/remote_activation/src/remote_activation.cpp
8442056       0x80D0C8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/system/bgan_ut/message/sync_messag
8447854       0x80E76E        PARity archive data - file number 20575
8450732       0x80F2AC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/shell/src/cmd_tt_debug.cpp
8455340       0x8104AC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/shell/src/cmd_reset.cpp
8456028       0x81075C        eCos RTOS string reference: "ecos"
8456116       0x8107B4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/status/src/stat.cpp
8459864       0x811658        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/systest/src/test_case.cpp
8462044       0x811EDC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/systest/src/dsp_test.cpp
8465116       0x812ADC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/systest/src/dsp_platform.cpp
8471824       0x814510        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/applications/bgan_ut/tracking/src/tracking.cpp
8482644       0x816F54        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/batmon2019/src/hdqport.cpp
8492592       0x819630        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/drivers/bgan_ut/buzzer/src/buzzer.cpp
